Вид работ;Категория расходов;Дата;Наименование;Количество;Ед. изм.;Цена за единицу;Полная стоимость
Демонтаж;Работы;2026-03-12;Демонтаж старой плитки в санузле;18;м²;650;11700
Электрика;Работы;2026-03-14;Прокладка кабеля и установка точек;24;шт.;1800;43200
Электрика;Материалы;2026-03-18;Кабель, автоматы и подрозетники;1;комплект;28600;28600
Сантехника;Работы;2026-04-02;Разводка труб и установка смесителей;1;комплект;54000;54000
Сантехника;Материалы;2026-04-05;Трубы, фитинги, гидроизоляция;1;комплект;31800;31800
Плиточные работы;Работы;2026-04-20;Укладка керамогранита на пол;42;м²;2100;88200
Плиточные работы;Материалы;2026-04-22;Керамогранит 60×60;45;м²;2890;130050
Плиточные работы;Доставка и логистика;2026-05-08;Доставка и подъём материалов;1;рейс;8500;8500
Покраска;Работы;2026-05-15;Шпаклёвка и окраска стен;68;м²;950;64600
Покраска;Материалы;2026-05-16;Грунт и краска;1;комплект;26750;26750
